state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Assam,Dhubri,Gauripur,"Green Gram (Moong)(Whole)","Green (Whole)",2019-05-13T12:59:55Z,6400,6680,6500
Assam,Dhubri,Gauripur,"Green Gram (Moong)(Whole)","Green (Whole)",2019-05-16T12:59:55Z,6400,6680,6500
Assam,Dhubri,Gauripur,"Green Gram (Moong)(Whole)","Green (Whole)",2019-05-17T12:59:55Z,6400,6680,6500
Assam,Dhubri,Gauripur,"Green Gram (Moong)(Whole)","Green (Whole)",2019-05-20T12:59:55Z,6400,6680,6500
Assam,Dhubri,Gauripur,"Green Gram (Moong)(Whole)","Green (Whole)",2019-05-21T12:59:55Z,6400,6680,6500
Assam,Dhubri,Gauripur,"Green Gram (Moong)(Whole)","Green (Whole)",2019-05-22T12:59:55Z,6400,6680,6500
Assam,Dhubri,Gauripur,"Green Gram (Moong)(Whole)","Green (Whole)",2019-05-23T12:59:55Z,6300,6680,6400
Assam,Dhubri,Gauripur,"Green Gram (Moong)(Whole)","Green (Whole)",2019-05-24T12:59:55Z,6400,6680,6500
Assam,Dhubri,Gauripur,"Green Gram (Moong)(Whole)","Green (Whole)",2019-05-27T12:59:55Z,6400,6680,6500
Assam,Dhubri,Gauripur,"Green Gram (Moong)(Whole)","Green (Whole)",2019-05-28T12:59:55Z,6400,6680,6500
Assam,Dhubri,Gauripur,"Green Gram (Moong)(Whole)","Green (Whole)",2019-05-29T12:59:55Z,6400,6680,6500
Assam,Dhubri,Gauripur,"Green Gram (Moong)(Whole)","Green (Whole)",2019-05-30T12:59:55Z,6400,6680,6500
Assam,Dhubri,Gauripur,"Green Gram (Moong)(Whole)","Green (Whole)",2019-05-31T12:59:55Z,6400,6680,6500
Assam,Dhubri,Gauripur,"Green Gram (Moong)(Whole)","Green (Whole)",2019-06-01T12:59:55Z,6400,6680,6500
Assam,Dhubri,Gauripur,"Green Gram (Moong)(Whole)","Green (Whole)",2019-06-03T12:59:55Z,6400,6680,6500
Assam,Dhubri,Gauripur,"Green Gram (Moong)(Whole)","Green (Whole)",2019-06-04T12:59:55Z,6400,6680,6500
Assam,Dhubri,Gauripur,"Green Gram (Moong)(Whole)","Green (Whole)",2019-06-06T12:59:55Z,6400,6680,6500
Assam,Dhubri,Gauripur,"Green Gram (Moong)(Whole)","Green (Whole)",2019-06-07T12:59:55Z,6400,6680,6500
