state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-01-18T13:04:55Z,4000,4000,4000
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-01-19T13:04:55Z,4500,4500,4500
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-01-20T13:04:55Z,4600,4600,4600
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-01-21T13:04:55Z,4650,4650,4650
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-01-22T13:04:55Z,4500,4500,4500
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-01-23T13:04:55Z,4300,4300,4300
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-01-24T13:04:55Z,4000,4000,4000
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-01-25T13:04:55Z,4280,4280,4280
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-01-26T13:04:55Z,4320,4320,4320
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-01-27T13:04:55Z,4340,4340,4340
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-01-28T13:04:55Z,4000,4000,4000
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-01-29T13:04:55Z,4330,4330,4330
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-01-30T13:04:55Z,4200,4200,4200
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-01-31T13:04:55Z,4250,4250,4250
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-02-01T13:04:55Z,4320,4320,4320
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-02-02T13:04:55Z,4200,4200,4200
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-02-03T13:04:55Z,4280,4280,4280
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-02-04T13:04:55Z,4225,4225,4225
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-02-06T13:04:55Z,4220,4220,4220
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-02-07T13:04:55Z,4255,4255,4255
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-02-08T13:04:55Z,4125,4125,4125
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-02-12T13:04:55Z,4220,4220,4220
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-02-13T13:04:55Z,4115,4115,4115
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-02-14T13:04:55Z,4118,4118,4118
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-02-15T13:04:55Z,4218,4218,4218
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-02-16T13:04:55Z,3850,3850,3850
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-02-17T13:04:55Z,4115,4115,4115
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-02-18T13:04:55Z,4220,4220,4220
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-02-21T13:04:55Z,4216,4216,4216
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-02-22T13:04:55Z,4000,4000,4000
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-02-23T13:04:55Z,4125,4125,4125
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-02-24T13:04:55Z,3890,3890,3890
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-02-25T13:04:55Z,4218,4218,4218
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-02-26T13:04:55Z,4215,4215,4215
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-02-27T13:04:55Z,4210,0,4210
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-02-28T13:04:55Z,4210,4210,4210
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-03-01T13:04:55Z,4210,4210,4210
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-03-02T13:04:55Z,4200,4200,4200
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-03-03T13:04:55Z,4000,4000,4000
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-03-04T13:04:55Z,4112,4112,4112
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-03-05T13:04:55Z,4215,4215,4215
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-03-06T13:04:55Z,4110,4110,4110
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-03-07T13:04:55Z,4000,4000,4000
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-03-08T13:04:55Z,4000,4000,4000
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-03-09T13:04:55Z,3950,3950,3950
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-03-10T13:04:55Z,4000,4000,4000
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-03-11T13:04:55Z,4120,4120,4120
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-03-12T13:04:55Z,4000,4000,4000
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-03-13T13:04:55Z,4000,4000,4000
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-03-14T13:04:55Z,4120,4120,4120
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-03-15T13:04:55Z,4000,4000,4000
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-03-16T13:04:55Z,4000,4000,4000
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-03-17T13:04:55Z,3900,3900,3900
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-03-18T13:04:55Z,3750,3750,3750
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-03-19T13:04:55Z,4100,4100,4100
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-03-20T13:04:55Z,4050,4050,4050
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-03-23T13:04:55Z,4000,4000,4000
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-03-24T13:04:55Z,3850,3850,3850
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-03-25T13:04:55Z,4000,4000,4000
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-03-26T13:04:55Z,4200,4200,4200
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-03-27T13:04:55Z,4000,4000,4000
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-03-28T13:04:55Z,4050,4050,4050
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-03-29T13:04:55Z,3780,3780,3780
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-03-30T13:04:55Z,4100,4100,4100
"Andhra Pradesh",Kurnool,Dhone,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",2019-03-31T13:04:55Z,3750,3750,3750
