state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-01-02T12:49:12Z,7500,16110,15625
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-01-03T12:49:12Z,7900,16360,15850
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-01-04T12:49:12Z,10225,16735,16230
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-01-05T12:49:12Z,15555,16350,16200
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-01-07T12:49:12Z,6000,16250,15625
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-01-08T12:49:12Z,5000,16230,15700
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-01-09T12:49:12Z,5000,16250,15730
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-01-10T12:49:12Z,10590,16430,15780
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-01-11T12:49:12Z,7550,16280,15500
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-01-12T12:49:12Z,12505,16300,15750
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-01-16T12:49:12Z,8965,16405,15925
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-01-17T12:49:12Z,8500,16445,15310
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-01-18T12:49:12Z,9000,16440,14820
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-01-19T12:49:12Z,6000,16595,16000
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-01-21T12:49:12Z,12750,16600,16090
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-01-22T12:49:12Z,10000,16680,16175
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-01-23T12:49:12Z,6000,16750,16090
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-01-24T12:49:12Z,13755,16100,15480
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-01-25T12:49:12Z,14500,16260,15660
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-01-28T12:49:12Z,11850,16125,15700
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-01-29T12:49:12Z,7100,14830,14400
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-01-30T12:49:12Z,6500,16340,14360
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-01-31T12:49:12Z,10435,16480,15825
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-02-01T12:49:12Z,7950,16675,16175
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-02-02T12:49:12Z,10205,16735,15940
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-02-04T12:49:12Z,8550,16175,15665
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-02-05T12:49:12Z,7000,16865,16170
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-02-06T12:49:12Z,11125,16690,15835
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-02-07T12:49:12Z,11450,17230,16805
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-02-08T12:49:12Z,5495,16880,16430
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-02-09T12:49:12Z,7500,16965,16440
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-02-11T12:49:12Z,6950,17060,16610
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-02-12T12:49:12Z,6000,17130,16740
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-02-13T12:49:12Z,10900,16770,16200
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-02-14T12:49:12Z,10250,17345,16700
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-02-15T12:49:12Z,15710,15710,15710
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-02-16T12:49:12Z,14140,16890,14725
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-02-18T12:49:12Z,8500,18630,18170
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-02-19T12:49:12Z,9000,18805,18405
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-02-20T12:49:12Z,5130,19040,18675
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-02-21T12:49:12Z,10500,19000,18225
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-02-22T12:49:12Z,9000,19250,18790
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-02-23T12:49:12Z,6000,20000,19240
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-02-25T12:49:12Z,8300,19855,19430
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-02-26T12:49:12Z,8305,19560,18960
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-02-27T12:49:12Z,12950,19225,18500
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-02-28T12:49:12Z,11265,18975,18055
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-03-01T12:49:12Z,9465,18500,18180
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-03-02T12:49:12Z,11180,18200,17155
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-03-05T12:49:12Z,16495,17040,16655
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-03-06T12:49:12Z,7375,17850,17125
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-03-07T12:49:12Z,9160,17310,17225
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-03-08T12:49:12Z,15850,17155,16950
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-03-09T12:49:12Z,13855,18105,17430
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-03-11T12:49:12Z,8500,16750,16150
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-03-12T12:49:12Z,5000,17200,16625
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,2019-03-13T12:49:12Z,7500,17330,16725
